Code,Name,Purchase Price,Tax,Retail Price,Category Code
1773,LARANJA GLACEADA,,0,08.00,G01
1779,LARANJADA,,0,08.00,G01
1670,LICOR DE ACEROLA GDE. ( NOSSO LICOR ),,0,18.00,G01
1794,LICOR DE CAMBUI,,0,18.00,G01
1823,LICOR DE GOIABA ( MEDIO ),,0,12.00,G01
1666,LICOR DE JACA  ( MÉDIO ),,0,12.00,G01
1667,LICOR DE JENIPAPO  ( GDE. )  NOSSO LICOR,,0,18.00,G01
1683,LICOR DE MANGABA ( DOM PEDRITO ),,0,12.00,G01
1795,LICOR DE MARACUJA,,0,18.00,G01
1668,LICOR DE PASSA GDE.  ( NOSSO LICOR ),,0,18.00,G01
1802,LICOR DE PITOMBA  GDE.,,0,12.00,G01
1684,LICOR DE PITOMBA  PEQ. ( DOM PEDRITO ),,0,08.00,G01
1669,LICOR DE TAMARINDO  GDE. ( NOSSO LICOR ),,0,18.00,G01
1803,MAMÃO CRISTALIZADO,,0,08.00,G01
1775,MAMÃO GLACEADO,,0,08.00,G01
1523,MAMÃO GLACEADO  FATIADO,,0,08.00,G01
1634,MANGABA CREMOSO ( S. VIVENDA),,0,20.00,G01
1682,MANTEIGA DE GARRAFA  PEQ.,,0,07.00,G01
1681,MANTEIGA DE GARRRAFA  GDE.,,0,12.00,G01
1524,MARIOLA DE BANANA  ( BANDEJA ),,0,08.00,G01
1525,MARIOLA DE GOIABA   BANDEJA  ),,0,08.00,G01
1713,MASSA DE TAPIOCA 01 KG.,,0,09.00,G01
1671,MEL   GDE.   (ASSOCIAÇÃO ),,0,21.00,G01
1821,MEL  HORTELA E ALHO,,0,05.00,G01
1672,MEL  MEDÍO  ( ASSOCIAÇÃO ),,0,16.00,G01
1797,MEL ABACAXI C/ GENGIBRE,,0,05.00,G01
1761,MEL ALHO E LIMÃO,,0,05.00,G01
1674,MEL COM  FAVO   ( ASSOCIAÇÃO ),,0,30.00,G01
1675,MEL COM FAVO  ( KAROL ),,0,25.00,G01
1676,MEL DE CAJU   GDE.  ( D. PEDRITO  ),,0,10.00,G01
1677,MEL DE CAJU  PEQ.  ( DOM PEDRITO ),,0,06.00,G01
1759,MEL EXPECTORANTE 07 ERVAS DA VOVO,,0,05.00,G01
1760,MEL MENTA SPICATA E ALHO,,0,05.00,G01
1673,MEL PEQ. ( ASSOCIAÇÃO  ),,0,12.00,G01
1757,MEL PURO  PEQ.  ( MEL MAIS SAUDE ),,0,05.00,G01
1758,MEL ROMA E ALHO,,0,05.00,G01
1730,MELAÇO DE CANA GDE.,,0,10.00,G01
1731,MELAÇO DE CANA PEQ.,,0,06.00,G01
1798,MELADINHO MEL DE CAJU  GDE.,,0,12.00,G01
1799,MELADINHO MEL DE CAJU  PEQ.,,0,06.00,G01
1526,MIX DE CASCA  ( BANDEJA  ),,0,05.00,G01
1709,MIX DE LARANJA  ( POTE ),,0,05.00,G01
1528,NEGO BOM DE BANANA  ( BANDEJA ),,0,08.00,G01
1535,NEGO BOM DE CAJU  ( BANDEJA ),,0,08.00,G01
1527,NEGO BOM DE JENIPAPO  ( BANDEJA ),,0,08.00,G01
1685,ÓLEO DE COCO,,0,20.00,G01
1745,PAÇOCA,,0,00.50,G01
1529,PÉ DE MOÇA  ( BANDEJA ),,0,08.00,G01
1686,PIMENTA BIQUINHO,,0,10.00,G01
1689,PIMENTA CHORA NEGÃO EM PASTA,,0,10.00,G01
1688,PIMENTA CHORA NEGÃO NIVEL 10,,0,05.00,G01
1687,PIMENTA COM BONECO,,0,10.00,G01
1690,PIMENTA GOTA,,0,03.00,G01
1694,PIMENTA GOTA EM PASTA,,0,10.00,G01
1692,PIMENTA SCORPION ( MOLHO ),,0,10.00,G01
1693,PIMENTA SCORPION CONSERVA,,0,14.00,G01
1691,PIMENTA SEM BONECO,,0,07.00,G01
1547,PIMENTINHA  ( PACOTE ),,0,05.00,G01
1548,PIMENTINHA  ( POTE ),,0,02.50,G01
1678,POLEM DESITRATADO  ( ASSOCIAÇÃO ),,0,16.00,G01
1732,PROPOLIS,,0,12.00,G01
1754,PROVOLONE GDE.,,0,20.00,G01
1755,PROVOLONE PEQ.,,0,10.00,G01
1530,QUEBRA QUEIXO AMENDOIM ( PACOTE ),,0,10.00,G01
1531,QUEBRA QUEIXO DE COCO  ( PACOTE ),,0,10.00,G01
1532,QUEBRA QUEIXO DE GOIABA  (  PACOTE ),,0,10.00,G01
1533,QUEBRA QUEIXO TRADICIONAL  ( BANDEJA ),,0,08.00,G01
1702,RAPADUDINHA EM CUBO  ( 180 ),,0,07.00,G01
1701,RAPADUDINHA EM CUBO  ( 90 GRS ),,0,04.00,G01
1695,RAPADURA  NORMAL ( BARRA ),,0,03.50,G01
1697,RAPADURA BATIDA NA PALHA,,0,07.00,G01
1534,RAPADURA DE CAJU  ( BANDEJA ),,0,08.00,G01
1699,RAPADURA DE CAJU BARRA PEQ.,,0,05.00,G01
1698,RAPADURA DE CAJU EM BARRA ( GDE. ),,0,08.00,G01
1700,RAPADURA DE CASTANHA,,0,07.00,G01
1812,RAPADURA NORMAL BARRA ( BELA VISTA ),,0,03.00,G01
1696,RAPADURA NORMAL BARRA PEQ.,,0,02.00,G01
1744,SERENATA DO AMOR,,0,01.00,G01
1735,TAMARINDO  ( BALA ),,0,05.00,G01
1703,TRUFAS,,0,02.50,G01
1727,UMBU BOM,,0,06.00,G01
1723,UMBU DE CORTE,,0,12.00,G01
